Year,Max_Increase_ADM,Increase_km2,Increase_pct_of_ADM,Max_Decrease_ADM,Decrease_km2,Decrease_pct_of_ADM
2015,Guarayos,182.86,0.55,Nor_Lipez,-0.04,
2016,Guarayos,105.51,0.32,Luis_Calvo,-0.14,
2017,Guarayos,93.30,0.28,Luis_Calvo,-0.92,
2018,Guarayos,78.46,0.24,Luis_Calvo,-4.98,
2019,Guarayos,66.03,0.20,Luis_Calvo,-2.54,
2020,Guarayos,50.54,0.15,Ichilo,-2.18,-0.01
2021,Guarayos,91.71,0.27,Sur_Cinti,-0.07,
2022,Guarayos,13.28,0.04,Angel_Sandoval,-0.54,
